Well	Fluor	Target	Content	Sample	Biological Set Name	Cq	Cq Mean	Cq Std. Dev	Starting Quantity (SQ)	Log Starting Quantity	SQ Mean	SQ Std. Dev	Set Point	Well Note
M18	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
M19	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
M20	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
M21	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
M22	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
M23	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
M24	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
N01	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
N02	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
N03	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
N04	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
N05	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
N06	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
N07	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
N08	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
N09	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
N10	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
N11	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
N12	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
N13	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
N14	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
N15	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
N16	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
N17	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
N18	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
N19	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
N20	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
N21	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
N22	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
N23	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
N24	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
O01	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
O02	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
O03	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
O04	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
O05	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
O06	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
O07	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
O08	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
O09	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
O10	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
O11	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
O12	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
O13	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
O14	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
O15	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
O16	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
O17	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
O18	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
O19	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
O20	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
